source,id,publisher,city,borough,year,start_page,end_page,column_count,sample_page,key_page,page_offset,holding_institution,title,notes
ia,flushingnewyorkc00boyd,Boyd,Flushing,Queens,1890,,,1,,,,Internet Archive,"Flushing, New York, city directory",Boyd Flushing col=1 (see boyd_flushing card; title-triage s4)
ia,doggettsnewyorkc1846dogg,Doggett,New York,Manhattan,1846,,,2,,,,Internet Archive,"Doggett's New-York City directory, for ...",
nypl,4adf9ec0-317a-0134-03ad-00505686a51c,Doggett's,New York,Manhattan,1850/51,21,560,2,60,,,NYPL,"New York City directory, 1850-1851",
ia,newyorkdirectory00dunc,Duncan,New York,Manhattan,1794,,,1,,,,Internet Archive,"New-York directory, and register, for the year 1794. Illustrated with a new and accurate plan of the city and part of Long-Island, exactly laid down,",col=1 (pre-transition single-col era; title-triage s4)
nypl,f554e950-81ae-0134-b4cf-00505686a51c,Duncan/Greenleaf,New York,Manhattan,1791,1,146,1,4,,,NYPL,New York City directory,
nypl,dc1b4800-81b3-0134-cf90-00505686a51c,Duncan/McComb,New York,Manhattan,1794,,,1,,,,NYPL,"New York City directory, 1794, copy 1",col=1 (pre-transition single-col era; title-triage s4)
nypl,e9592bb0-5d82-0134-f2a6-00505686a51c,Elliot,New York,Manhattan,1812,,,1,,,,NYPL,"New York City directory, 1812",col=1 (pre-transition single-col era; title-triage s4)
nypl,7cd3acc0-5d7f-0134-12ab-00505686a51c,Elliot & Crissy,New York,Manhattan,1811,,,1,,,,NYPL,"New York City directory, 1811",col=1 (pre-transition single-col era; title-triage s4)
ia,newyorkdirectory00fran_0,Franks,New York,Manhattan,1786,,,1,,,,Internet Archive,"New York directory for 1786,",
nypl,b14662b0-81a8-0134-2a18-00505686a51c,Franks/Kollock,New York,Manhattan,1786,20,52,1,40,,8,NYPL,The New-York directory,
nypl,5ba77660-5dac-0134-3427-00505686a51c,Groot & Elston,New York,Manhattan,1845/46,,,1,,,,NYPL,"New York City directory, 1845-1846",col=1 (s4 fan-out: single-col residential GIL/STO; publisher-dependent — stayed 1-col vs Doggett 2-col)
ia,micro_IABROOKLYN_0030,Hearnes,Brooklyn,Brooklyn,1852/53,,,1,,,,Internet Archive,Hearnes' Brooklyn City Directory for 1852-1853,
nypl,614e2e50-81ad-0134-e971-00505686a51c,Hodge/Allen,New York,Manhattan,1790,5,113,1,7,,,NYPL,New York City directory,
ia,micro_IABROOKLYN_0035,Hope & Henderson,Brooklyn,Brooklyn,1856/57,,,2,,,31,Internet Archive,Hope & Henderson's (Consolidated) Brooklyn City Directory for 1856-1857,Hope&Henderson col=2 (s4 fan-out: 2-col residential HAG-HAL/VAN); offset +31 @ leaf205/p174
ia,1876BPL,Lain,Brooklyn,Brooklyn,1876,,,2,,,,Internet Archive,"The Brooklyn City and Business Directory for the year ending May 1, 1876",Lain; col=2 verified via 1858/1869 title pages (s4)
nypl,6d811c30-5d84-0134-6f98-00505686a51c,Long,New York,Manhattan,1814,,,1,,,,NYPL,"New York City directory, 1814",col=1 (pre-transition single-col era; title-triage s4)
nypl,69fdfa80-5d88-0134-e574-00505686a51c,Longworth,New York,Manhattan,1818/19,,,1,,,,NYPL,"New York City directory, 1818-1819",
nypl,2dfca400-81bd-0134-7dee-00505686a51c,Low/Buell/Bull,New York,Manhattan,1796,1,216,1,4,,,NYPL,New York City directory,
nypl,b97ce630-644a-0137-0b6f-0fb82113de91,Manhattan & Bronx Directory Co.,New York,,1931,,,4,,,,NYPL,"New York City (Manhattan and Bronx) directory, 1931","covers Bronx, Manhattan; M&B Dir Co col=4 (s4 fan-out: 'MANHATTAN AND BRONX RESIDENTS', residential) [1920s+ city dir KEEP, incl. per scope clarification]"
ia,merceinscitydire00merc,Mercein,New York,Manhattan,1820,,,1,,,,Internet Archive,"Mercein's city directory, New-York register, and almanac, for the forty-fifth year of American independence. Containing, beside the list of duties, ba",col=1 (pre-transition single-col era; title-triage s4)
ia,brooklyndirector00ogde,Ogden,Brooklyn,Brooklyn,1839,,,1,,,,Internet Archive,"Brooklyn directory, for the years 1839-40",col=1 (pre-transition single-col era; title-triage s4)
nypl,4c08ab00-317a-0134-ec38-00505686a51c,Polk,New York,Manhattan,1917,229,2088,5,240,,,NYPL,"New York City directory, 1917",
nypl,bf529e00-6449-0137-6597-6bbbb43fc75b,Polk,New York,,1925,,,6,,,,NYPL,"New York City (Manhattan and the Bronx) directory, 1925","covers Bronx, Manhattan; Polk NYC col=6 (s4 fan-out+Opus audit: dense 6-col residential, late-Polk; 1920/21 were col=5) [1920s+ city dir KEEP, incl. per scope clarification]"
nypl,c2afe390-6447-0137-72be-4f41c312305b,Polk,New York,,1933/34,,,4,,,,NYPL,"New York City (Manhattan and Bronx) directory, 1933-1934","covers Bronx, Manhattan; Polk Manhattan/Bronx col=4 (s4 fan-out: residential) [1920s+ city dir KEEP, incl. per scope clarification]"
nypl,bc958330-63af-0137-d037-03db0a2a574b,Polk,New York,Staten Island,1933/34,,,2,,,,NYPL,"Staten Island (Borough of Richmond) directory, Vol. 1, 1933-1934","Polk Staten Island col=2 (s4 fan-out: residential, small-borough) [1920s+ city dir KEEP, incl. per scope clarification]"
nypl,e9621e80-63b6-0137-ce16-0cdb3adbb8ea,Polk,New York,Brooklyn,1933/34,,,3,,,,NYPL,"Brooklyn city directory, 1933-1934","Polk Brooklyn col=3 (s4 fan-out: residential) [1920s+ city dir KEEP, incl. per scope clarification]"
nypl,4c11d740-317a-0134-5877-00505686a51c,Polk/Trow,New York,Manhattan,1920/21,201,1955,5,280,,,NYPL,"New York City directory, 1920-1921",
ia,micro_IABROOKLYN_0046,Reynolds,Williamsburgh,Brooklyn,1852,,,1,,,,Internet Archive,Reynolds' Williamsburgh City Directory and Business Advertiser for 1852,col=1 (pre-transition single-col era; title-triage s4)
ia,newyorkcitydirec00rode,Rode,New York,Manhattan,1851,,,1,,,8,Internet Archive,"The New York City directory, for ..",Rode col=1 (s4 fan-out: 1-col residential GRA-GRE p291); offset +8
ia,micro_IABROOKLYN_0033,Smith,Brooklyn,Brooklyn,1854,,,1,,,55,Internet Archive,Smith's Brooklyn City Directory for 1854 & 1855,"Smith col=1 (s4 fan-out: 1-col residential, Da- p131); offset +55 @ leaf186"
ia,micro_IABROOKLYN_0034,Smith,Brooklyn,Brooklyn,1855,,,,,,,Internet Archive,"Smith's Brooklyn City Directory for the year ending May 1st, 1856","RESIDUAL: transition — needs sample (Smith 1854=col1, 1856=col2)"
ia,micro_IABROOKLYN_0036,Smith,Brooklyn,Brooklyn,1856,,,2,,,,Internet Archive,"Smith's Brooklyn City Directory for the year ending May 1st, 1857",Smith col=2 interp (Brooklyn 2-col by 1856: H&H 1856 + Smith 1857 confirmed; 1854 was col1)
loc,01015253,Spooner,Brooklyn,Brooklyn,,,,2,,,,Library of Congress,The Brooklyn city directory,"serial (18--c1912); sampled volume = Lain 1881 (24th annual) - no persons listing page captured; resample needed | LoC item gdc:00531550882 = Lain 1881 (24th annual, yr ending May 1 1881, Geo. T. Lain); PARTIAL scan: only ~20 canvases (title/preface + Index to Business Directory pp.iii-vi + Business Register ads) - NO persons listing digitized here (full vol ~1411pp). col=2 inferred from Lain identity; page_offset/key_page unmeasurable from this source. Confirmed 2026-06-19"
ia,micro_IABROOKLYN_0005,Spooner,Brooklyn,Brooklyn,1826,,,1,,,,Internet Archive,Spooner's Brooklyn Directory for the year 1826,col=1 (pre-transition single-col era; title-triage s4)
nypl,4b69a410-317a-0134-a570-00505686a51c,Trow,New York,Manhattan,1884/85,17,1940,2,36,,,NYPL,"New York City directory, 1884-1885",
ia,trowsgeneraldir1907p2trow,Trow,New York,,1907,,,3,,,,Internet Archive,"Trow's general directory of the boroughs of Manhattan and Bronx, city of New York","covers Bronx, Manhattan | part 2; Trow; col=3 (s4: bracketed 1859-1915 all 3-col + 1890s card)"
nypl,4bfc3730-317a-0134-db31-00505686a51c,Trow,New York,Manhattan,1913/14,17,1403,4,70,,,NYPL,"New York City directory, 1913-1914",
nypl,4b119360-317a-0134-9131-00505686a51c,Trow/Wilson,New York,Manhattan,1865/66,24,1078,2,44,,,NYPL,"New York City directory, 1865-1866",
ia,brooklynnewyorkc19062geor,Upington,New York,Brooklyn,1906,,,2,,,,Internet Archive,"Brooklyn, New York, city directory",Upington Gen.Dir. of Brooklyn; col=2 verified 1906 title page (s4)
ia,micro_IABROOKLYN_0017,,Brooklyn,Brooklyn,1840/41,,,1,,,,Internet Archive,Brooklyn Directory and Yearly Advertiser for 1840-1841,Spooner-era Brooklyn; col=1 verified 1848/49 sample (s4)
ia,newyorkdirectory00durs,,New York,Manhattan,1910,,,,,,,Internet Archive,New York directory.,"year = IA catalog date (spine title only; publisher unidentified); 1910 Manhattan; Trow-era?; needs sample (s4); RESIDUAL: needs sample (IIIF manifest fetch failed x2); 1910 Manhattan, likely Trow col2/3"
ia,brooklynnewyor1912p3broo,,New York,Brooklyn,1912,,,2,,,,Internet Archive,"Brooklyn, New York, city directory",part 3; post-1900 Brooklyn 1912; needs sample (publisher+col); dup w/ geor set (s4); post-1900 Brooklyn city dir col=2 (s4: per 1912broo sample); publisher unverified
