token	lines	share	name_follower	sample_line
"	92	0.0015	0.26	" Beautiful Daguerreotypes. — We were much surprised at the perfection to which this art
1	86	0.0014	0.92	1 Furman Street, near South Ferry, Two doors from Atlantic Street,,
*	36	0.0006	0.42	* Bourdett Edward W. hatter, 65 Myrtle av. h.
.	30	0.0005	0.43	. Alpers Martins, grocer, Fulton av. cor. Gold, h.
'	24	0.0004	0.38	' Certificates as to durability and Cheapness of this article, furnished from those who ha
•	18	0.0003	0.28	• He hopes will command the attention of his numerous friends.
&	18	0.0003	0.17	& 72 Wall. N. Y.
5	18	0.0003	0.33	5 Douglass st.
44	15	0.0002	0.93	44 Front Street, and
■	15	0.0002	0.47	■ and woufd extend a general invitation to the Ladies and Gentlemen of this City, and to
69	14	0.0002	0.86	69 Pineapple
6	14	0.0002	0.71	6 Barbarin
46	14	0.0002	0.86	46 Wyckofif
|	13	0.0002	0.54	| Burns Patrick, laborer, h. Franklin av. n. Hickory st.
2	13	0.0002	0.38	2 facturer, 14 High, n. Fulton, h. 47 High. ?
11	12	0.0002	0.92	11 FULTON AV., BROOKLYN, and 538 PEARL ST., {near Broadway) W. TT.
,	12	0.0002	0.33	, Constantly on hand, and for sale at the Lowest Market Prices, by WM. B. WALTERS.
12	12	0.0002	0.58	12 Lessons, -1100
74	12	0.0002	0.92	74 W. Warren
4	12	0.0002	0.67	4 th av.
25	11	0.0002	1.00	25 Washington
109	10	0.0002	0.80	109 Atlantic Street, BROOKLYN.
104	10	0.0002	0.80	104 Harrison Street, BROOKLYN.
2.	10	0.0002	0.30	2. All Lessons or Rides paid for on commencing.
9	10	0.0002	0.60	9 City Hall, h. St. Felix, n. Lafayette av.
35	10	0.0002	0.90	35 Debevoise
67	10	0.0002	0.90	67 E. 23d, N. Y.
14	10	0.0002	0.90	14 Adelphi
16	10	0.0002	0.90	16 th st.
106	10	0.0002	0.70	106 Atlantic, h. same
72	10	0.0002	0.80	72 Sands
7	10	0.0002	0.30	7 Bleecker, N. Y. boards, 154 York
3	9	0.0001	0.67	3 3 2 JPtTIiTOKT STREXS-F, Opposite Central Bank. BROOKLYN.
24	9	0.0001	0.78	24 Lessons, *20 OO
1.	9	0.0001	0.44	1. Introduction required of Ladies by a pupil or some other responsible person.
93	9	0.0001	0.89	93 Washington
141	9	0.0001	0.89	141 Montague, n. Court
96	9	0.0001	1.00	96 Concord
144	9	0.0001	1.00	144 Columbia
160	9	0.0001	0.67	160 Prospect
