token	lines	share	name_follower	sample_line
,	41	0.0034	0.10	, Milfofd,Danbury, and Lichiieid, arrives every Thurf-
1	37	0.0031	0.11	1 jfor common uk; the morning Hood being about twelve mi-
.	32	0.0027	0.06	. Jackfon, John, ccunting-houfe, [ackfon's-wharf.
-	21	0.0017	0.43	- {hip, veifel or goods ijafured from one djiirift to another in
•	16	0.0013	0.12	• "TiDDlliO^AL i\AMhb~ * "
;	12	0.0010	0.08	; \ John P. Tearfs, John Merfereuu, Richard Davis,
\	12	0.0010	0.08	\ b& "U bra, «i Scorpio, | Saefittary, . Ttf Capricorn, srAqua-l
5	12	0.0010	0.25	5 34 7 1 a
■	11	0.0009	0.09	■ ; i ',
4	9	0.0007	0.33	4 4* 7' a 4;
—	9	0.0007	0.56	— al! other glafs, and manufactures thereof,
!	8	0.0007	0.12	! 9 Notes- to the Reader
3	8	0.0007	0.12	3 ,q| 6 jS
'	8	0.0007	0.25	' Sec md do.
:	8	0.0007	0.12	: on i cwi i
?	5	0.0004	0.00	? . A. Day, 7 Chapel
8	5	0.0004	0.00	8 1 1 G .» :rci I . A c k e t fo n , 8*5 r I fa a c Ha J i e y ,
>,	5	0.0004	0.20	>, oyirerman, 57 Catharine
1,	5	0.0004	0.00	1, Ifaac, Bowery-lane.
|	4	0.0003	0.00	| II. The time of high water, at New-York, is (o computed
10	4	0.0003	0.25	10 s^! 1 :
6	4	0.0003	0.50	6 54 6;i6 i<
12	4	0.0003	0.50	12 4! 21 fouth 9 41
7	4	0.0003	0.50	7 ^s fet 0 39
2	4	0.0003	0.00	2 per cent.
^	4	0.0003	0.00	^ ^ John Laiher, Surveyor. hifptclors of'[fh:: CufomSi
*	4	0.0003	0.25	* 7 Frederick Anfpach, 799 Fztkiel Green,
1.	3	0.0002	0.67	1. For every (kin or pi*ice or vellum or parchment, or meet
»	3	0.0002	0.00	» or fteel locks, hinges, hoes,
15	3	0.0002	0.67	15 cents
«	3	0.0002	0.00	« s f ca b !t3 et \v ares) 12^
14	3	0.0002	0.67	14 Albert Amerrnas,', 51 Andrew Lofve,
19	3	0.0002	1.00	19 Joini De Grau yy} . ,56 Benjamin Oakley,
43	3	0.0002	1.00	43 James M'Keown,
7.	3	0.0002	0.67	7. Husk Gobel, and a Deputy Clerk ofthc Mark.:.
£	3	0.0002	0.00	£ ! a n c k , T h o 1 n as, 1 3 S k inn er
!,	3	0.0002	0.33	!, mercn:
:.	3	0.0002	0.00	:. Michael, porter & board ing-hdnfe, s;6Pine-ih'
:,	3	0.0002	0.00	:, i .-- feri-Itreet.
.'	2	0.0002	0.00	.' >_ Tammany $b$pfy, or Columbian Order.
