token	lines	share	name_follower	sample_line
.1	10633	0.0072	0.98	.1 Toy Mfg Co (RTN) (Nathan Squires 4
"	7154	0.0048	0.88	" fits its purpose," but who has the ability
*	5049	0.0034	0.88	* ■. Ill ido Springs.
1	5044	0.0034	0.97	1 Tine, Wyo.
■	3621	0.0024	0.38	■ •i 16 ci ni a ton, « bleb musl be paid bj
,1	3502	0.0024	0.99	,1 Albert sec Old Mill Cafe h218 Laf
1.	3123	0.0021	0.98	1. 220 E Bway
,.	2599	0.0018	0.98	,. Slna h526 Wlllth
,	2331	0.0016	0.95	, Twelfth Regt lnft'y — Col C. S. Wads-
4	2235	0.0015	0.74	4 Win. H. Burns 34 Gouverneur
.	2095	0.0014	0.94	. Arms, pastor, h 133 W 129th.
.,	2005	0.0014	0.98	., Cap Fronts Mfg Co (N Y) Semel Gutt-
•	1735	0.0012	0.24	• .II... 109 v, 140th im 2519 Wcbutcr
1,	1647	0.0011	0.98	1, Robt eng h264 W144th
&	1106	0.0007	0.69	& Taxes Department 139
'	399	0.0003	0.68	' ity and Ada
50	299	0.0002	0.78	50 E. B. Valentine 634, 52d
30	292	0.0002	0.75	30 Lauren Carroll 4 E 64th
»	202	0.0001	0.96	» Saml carp M36 RIvlngton
35	178	0.0001	0.88	35 Peter Schweickert 048 E 220th
-	170	0.0001	0.86	- 7 Prank L. Dowling 401 W 24th
17	155	0.0001	0.73	17 Daniel M. Bedell.. 817 West End av
5	149	0.0001	0.69	5 Joseph M Hannon 20 Bethune
100	144	0.0001	0.90	100 Bway, Room 801.
&.	144	0.0001	0.69	&. Wm A Nash v-ps Hjalmar I Lund-
0	132	0.0001	0.81	0 Holter sec-treas 60 Bway R1308
21	130	0.0001	0.92	21 Oscar Igstaedter 174 W 136th
25	129	0.0001	0.78	25 Charles Delaney 118 E 105th
«	122	0.0001	0.95	« Isaac G shirts h502 W148th
15	113	0.0001	0.77	15 W. F. Quinn 270 W 84th
■1	112	0.0001	1.00	■1 Harry pres Commercial Thread Co 132
•1	107	0.0001	0.98	•1 Luigi real est hl83 Thompson
115	102	0.0001	0.74	115 Foxall Ridgewood
16	100	0.0001	0.75	16 John T. Eagan 339 E 51st
110	100	0.0001	0.32	110 W i2Sth.— Ida Ikelheimer, Prln.
—	97	0.0001	0.90	— all richly stocked with new merchandise.
••	96	0.0001	1.00	•• Rebecca (wid Max) hl52 Essex
2	94	0.0001	0.89	2 Michael Stapleton. . . .38 Vandewater
45	93	0.0001	0.51	45 John S. Gaynor 136 Keap
55	93	0.0001	0.85	55 Frank T. Dixson 310 Wythe av
